iter	Logloss
0	0.6776782517
1	0.6587921715
2	0.6404534508
3	0.6222016806
4	0.6052639054
5	0.5940397063
6	0.5796421812
7	0.567682943
8	0.5555036709
9	0.5435401419
10	0.5326058713
11	0.5230949092
12	0.5117181842
13	0.5027353624
14	0.4923600171
15	0.4841554842
16	0.4759393212
17	0.4671166032
18	0.4595548703
19	0.4509546473
20	0.4445007652
21	0.4377110165
22	0.4321286645
23	0.4262095719
24	0.4215156753
25	0.4171381804
26	0.4117799818
27	0.4079134406
28	0.4027469934
29	0.3982202546
30	0.3927517747
31	0.3889134869
32	0.3842792498
33	0.3796649738
34	0.3764352066
35	0.371563175
36	0.3682823459
37	0.3657249753
38	0.3626118547
39	0.3603311692
40	0.3577568888
41	0.3552905037
42	0.3532616641
43	0.3505738786
44	0.3477100414
45	0.3456021655
46	0.3440016469
47	0.3423615176
48	0.34088903
49	0.338180016
50	0.3361003849
51	0.3340861969
52	0.3316886791
53	0.329649563
54	0.328213156
55	0.3268268594
56	0.3256615566
57	0.3245325844
58	0.3234968487
59	0.3228390361
60	0.3217917871
61	0.3207884499
62	0.31916863
63	0.3172965129
64	0.3161341353
65	0.3146301681
66	0.3138162217
67	0.3129255941
68	0.3121607152
69	0.3109108938
70	0.310232342
71	0.3088699761
72	0.3082446543
73	0.3075972503
74	0.3062758948
75	0.3053548238
76	0.3043313079
77	0.3036035661
78	0.3023841535
79	0.3014675365
80	0.3006517142
81	0.3000064117
82	0.2991978806
83	0.2980895235
84	0.2971654917
85	0.2967377397
86	0.2963545103
87	0.2957807177
88	0.2952918699
89	0.2945809698
90	0.2940485372
91	0.2934083774
92	0.293021741
93	0.2923723666
94	0.2918229693
95	0.2911153386
96	0.290368519
97	0.2898467543
98	0.2891960859
99	0.2887028105
100	0.2883040804
101	0.2880100211
102	0.2875774789
103	0.2871189194
104	0.286674762
105	0.2862553686
106	0.2856940648
107	0.2852950516
108	0.2848133104
109	0.2844512952
110	0.2837882486
111	0.2832043249
112	0.2827116645
113	0.2822973244
114	0.2818862468
115	0.2814825507
116	0.281016385
117	0.2807226546
118	0.2804738718
119	0.2800578928
120	0.2794878129
121	0.2791791117
122	0.2786693135
123	0.2782810637
124	0.2780771823
125	0.2776323178
126	0.2773409394
127	0.2770134688
128	0.2766875714
129	0.2764900813
130	0.2761597751
131	0.2757159468
132	0.2754383406
133	0.2750095676
134	0.2746569329
135	0.2743301608
136	0.2739536462
137	0.2736143974
138	0.2732727864
139	0.2727988522
140	0.272622465
141	0.2723558396
142	0.2721841957
143	0.2718031359
144	0.271499603
145	0.2712442006
146	0.2708777583
147	0.2706848248
148	0.2705268672
149	0.2701162678
150	0.2699181111
151	0.2694711245
152	0.2692441098
153	0.2690347647
154	0.2687156048
155	0.2684240553
156	0.2681584894
157	0.2679670257
158	0.2677606234
159	0.2674069011
160	0.2672705336
161	0.267020431
162	0.2667464301
163	0.2665004166
164	0.26628921
165	0.2660867208
166	0.2657860839
167	0.2656656951
168	0.2653693267
169	0.2653180361
170	0.2651829931
171	0.2648578828
172	0.2646612476
173	0.2644221879
174	0.2641376957
175	0.263894923
176	0.2635638932
177	0.2634247524
178	0.2632471085
179	0.262990314
180	0.2627515689
181	0.2624907194
