iter	Passed	Remaining
0	9	9127
1	21	10778
2	26	8830
3	37	9330
4	43	8711
5	49	8242
6	54	7731
7	59	7367
8	66	7272
9	71	7098
10	76	6922
11	82	6799
12	88	6699
13	94	6648
14	98	6491
15	103	6368
16	108	6287
17	113	6167
18	117	6084
19	123	6027
20	128	5975
21	134	5977
22	141	6012
23	145	5926
24	151	5911
25	156	5853
26	160	5800
27	166	5794
28	171	5755
29	177	5737
30	181	5680
31	188	5703
32	201	5900
33	207	5883
34	212	5854
35	218	5849
36	224	5849
37	230	5827
38	234	5790
39	240	5780
40	247	5785
41	252	5766
42	259	5768
43	264	5756
44	274	5828
45	281	5840
46	287	5831
47	294	5845
48	300	5830
49	306	5818
50	314	5851
51	319	5824
52	327	5847
53	332	5831
54	338	5810
55	342	5779
56	349	5776
57	353	5745
58	358	5721
59	366	5741
60	371	5716
61	376	5695
62	383	5700
63	387	5672
64	392	5644
65	401	5684
66	408	5691
67	419	5756
68	425	5736
69	433	5757
70	439	5752
71	444	5723
72	450	5717
73	455	5696
74	459	5672
75	466	5675
76	472	5658
77	476	5637
78	481	5618
79	486	5591
80	490	5567
81	496	5555
82	502	5555
83	508	5543
84	513	5524
85	519	5525
86	524	5506
87	530	5502
88	537	5497
89	541	5479
90	547	5472
91	555	5481
92	560	5470
93	566	5461
94	572	5456
95	578	5449
96	585	5447
97	592	5452
98	602	5479
99	607	5470
100	613	5457
101	620	5464
102	625	5447
103	630	5432
104	638	5438
105	644	5432
106	649	5418
107	655	5417
108	662	5418
109	671	5431
110	676	5421
111	681	5407
112	687	5399
113	692	5381
114	697	5369
115	703	5358
116	708	5349
117	714	5336
118	719	5329
119	725	5319
120	730	5305
121	736	5300
122	743	5298
123	747	5281
124	753	5272
125	763	5294
126	767	5278
127	775	5284
128	785	5304
129	791	5298
130	797	5287
131	804	5287
132	811	5289
133	816	5277
134	822	5271
135	827	5257
136	832	5243
137	836	5227
138	842	5219
139	847	5205
140	851	5188
141	859	5193
142	864	5180
143	869	5166
144	876	5166
145	881	5154
146	885	5139
147	890	5128
148	895	5114
149	899	5098
150	904	5082
151	910	5080
152	916	5075
153	921	5061
154	928	5059
155	933	5049
156	938	5038
157	945	5038
158	951	5030
159	955	5018
160	962	5013
161	967	5004
162	973	4996
163	978	4986
164	984	4981
165	992	4986
166	999	4983
167	1006	4982
168	1014	4988
169	1019	4976
170	1024	4965
171	1030	4960
172	1035	4948
173	1043	4954
174	1049	4949
175	1054	4937
176	1067	4963
177	1072	4951
178	1079	4953
179	1085	4943
180	1090	4932
181	1097	4931
182	1102	4923
183	1108	4913
184	1115	4913
185	1120	4903
186	1126	4897
187	1132	4889
188	1138	4886
189	1145	4884
190	1150	4872
191	1155	4861
192	1162	4859
193	1167	4850
194	1173	4844
195	1181	4847
196	1190	4850
197	1196	4846
198	1201	4835
199	1206	4825
200	1211	4814
201	1216	4806
202	1221	4795
203	1226	4784
204	1232	4778
205	1237	4768
206	1242	4760
207	1247	4751
208	1252	4739
209	1257	4729
210	1262	4720
211	1267	4711
212	1272	4701
213	1276	4689
214	1283	4687
215	1288	4676
216	1293	4665
217	1298	4656
218	1303	4648
219	1308	4639
220	1314	4632
221	1319	4624
222	1324	4615
223	1329	4605
224	1338	4610
225	1343	4602
226	1350	4599
227	1357	4595
228	1362	4588
229	1371	4590
230	1377	4584
231	1382	4578
232	1392	4584
233	1398	4576
234	1405	4574
235	1409	4564
236	1418	4565
237	1423	4557
238	1428	4548
239	1433	4539
240	1438	4529
241	1442	4519
242	1447	4508
243	1452	4499
244	1457	4491
245	1461	4480
246	1465	4469
247	1472	4464
248	1477	4457
249	1483	4450
250	1488	4441
251	1495	4440
252	1501	4434
253	1506	4425
254	1512	4418
255	1516	4408
256	1522	4401
257	1528	4394
258	1533	4386
259	1538	4378
260	1543	4370
261	1550	4366
262	1554	4357
263	1559	4348
264	1564	4339
265	1571	4336
266	1578	4332
267	1587	4335
268	1591	4325
269	1597	4319
270	1602	4310
271	1608	4305
272	1614	4299
273	1623	4302
274	1629	4295
275	1634	4286
276	1640	4281
277	1645	4272
278	1650	4264
279	1655	4257
280	1662	4254
281	1667	4246
282	1673	4241
283	1679	4234
284	1684	4225
285	1690	4221
286	1695	4211
287	1700	4203
288	1705	4195
289	1711	4191
290	1716	4182
291	1722	4175
292	1728	4171
293	1733	4163
294	1739	4156
295	1746	4153
296	1750	4144
297	1759	4144
298	1766	4142
299	1772	4135
300	1778	4129
301	1785	4125
302	1790	4119
303	1796	4112
304	1801	4104
305	1805	4095
306	1813	4093
307	1819	4088
308	1825	4081
309	1830	4073
310	1835	4066
311	1841	4060
312	1847	4055
313	1853	4049
314	1858	4042
315	1863	4033
316	1868	4025
317	1873	4017
318	1879	4012
319	1885	4005
320	1890	3998
321	1895	3990
322	1899	3982
323	1904	3973
324	1911	3970
325	1915	3960
326	1920	3952
327	1926	3947
328	1932	3941
329	1941	3941
330	1947	3936
331	1952	3928
332	1962	3930
333	1968	3925
334	1975	3921
335	1982	3918
336	1988	3912
337	1993	3903
338	2000	3900
339	2006	3895
340	2011	3886
341	2017	3881
342	2022	3873
343	2027	3865
344	2032	3859
345	2037	3851
346	2042	3844
347	2048	3837
348	2053	3831
349	2058	3823
350	2063	3816
351	2068	3808
352	2073	3800
353	2078	3792
354	2084	3787
355	2089	3780
356	2095	3774
357	2101	3769
358	2108	3764
359	2116	3762
360	2122	3757
361	2127	3750
362	2133	3744
363	2138	3737
364	2149	3740
365	2154	3731
366	2159	3724
367	2168	3724
368	2175	3719
369	2180	3713
370	2189	3712
371	2195	3705
372	2202	3701
373	2207	3695
374	2212	3687
375	2219	3683
376	2226	3679
377	2231	3671
378	2236	3663
379	2240	3655
380	2245	3648
381	2252	3643
382	2258	3638
383	2266	3636
384	2272	3629
385	2278	3624
386	2283	3616
387	2289	3612
388	2294	3604
389	2299	3596
390	2305	3591
391	2311	3585
392	2316	3577
393	2322	3572
394	2328	3566
395	2337	3565
396	2342	3558
397	2348	3552
398	2356	3549
399	2362	3543
400	2368	3537
401	2374	3531
402	2379	3524
403	2384	3517
404	2391	3513
405	2396	3505
406	2401	3498
407	2406	3492
408	2412	3485
409	2418	3479
410	2424	3474
411	2429	3467
412	2434	3460
413	2440	3453
414	2445	3447
415	2451	3441
416	2456	3434
417	2462	3428
418	2466	3420
419	2473	3415
420	2479	3410
421	2484	3402
422	2489	3396
423	2495	3390
424	2501	3384
425	2507	3378
426	2512	3371
427	2518	3365
428	2524	3360
429	2531	3355
430	2536	3349
431	2547	3349
432	2553	3343
433	2561	3340
434	2567	3334
435	2571	3326
436	2578	3322
437	2583	3315
438	2590	3310
439	2597	3305
440	2601	3298
441	2606	3290
442	2613	3286
443	2618	3279
444	2624	3273
445	2630	3268
446	2636	3261
447	2640	3253
448	2646	3247
449	2651	3240
450	2656	3233
451	2664	3229
452	2668	3221
453	2675	3217
454	2680	3210
455	2686	3205
456	2693	3200
457	2698	3193
458	2704	3187
459	2708	3179
460	2714	3173
461	2721	3168
462	2730	3166
463	2734	3159
464	2742	3155
465	2750	3151
466	2755	3144
467	2760	3138
468	2767	3133
469	2772	3126
470	2779	3121
471	2784	3115
472	2789	3108
473	2796	3102
474	2802	3097
475	2808	3091
476	2813	3084
477	2819	3078
478	2826	3073
479	2831	3067
480	2838	3062
481	2844	3056
482	2852	3052
483	2856	3045
484	2861	3038
485	2866	3031
486	2873	3026
487	2877	3019
488	2884	3014
489	2889	3007
490	2893	2999
491	2900	2994
492	2907	2989
493	2913	2984
494	2922	2981
495	2929	2977
496	2935	2970
497	2941	2965
498	2949	2961
499	2954	2954
500	2959	2947
501	2967	2943
502	2971	2936
503	2976	2929
504	2983	2924
505	2988	2917
506	2992	2910
507	2997	2903
508	3005	2898
509	3010	2892
510	3015	2885
511	3021	2879
512	3026	2872
513	3031	2866
514	3038	2861
515	3043	2855
516	3048	2848
517	3053	2841
518	3058	2834
519	3063	2827
520	3071	2823
521	3076	2817
522	3081	2810
523	3086	2804
524	3091	2797
525	3096	2790
526	3105	2787
527	3112	2782
528	3118	2776
529	3125	2772
530	3133	2767
531	3139	2762
532	3143	2754
533	3148	2747
534	3154	2741
535	3159	2734
536	3164	2728
537	3169	2721
538	3175	2715
539	3180	2708
540	3185	2703
541	3190	2696
542	3195	2689
543	3202	2684
544	3208	2678
545	3212	2671
546	3217	2664
547	3222	2658
548	3227	2651
549	3232	2644
550	3238	2639
551	3243	2632
552	3248	2625
553	3252	2618
554	3259	2613
555	3264	2606
556	3268	2599
557	3275	2594
558	3282	2589
559	3286	2582
560	3292	2576
561	3297	2570
562	3303	2564
563	3309	2558
564	3317	2553
565	3326	2550
566	3333	2545
567	3340	2540
568	3346	2534
569	3351	2528
570	3356	2522
571	3363	2516
572	3370	2511
573	3375	2505
574	3382	2499
575	3388	2494
576	3395	2489
577	3401	2483
578	3405	2476
579	3411	2470
580	3416	2463
581	3420	2456
582	3427	2451
583	3434	2446
584	3439	2439
585	3444	2433
586	3450	2427
587	3454	2420
588	3460	2414
589	3466	2408
590	3471	2402
591	3476	2396
592	3482	2389
593	3486	2383
594	3492	2377
595	3500	2372
596	3505	2366
597	3513	2361
598	3518	2355
599	3523	2349
600	3530	2343
601	3535	2337
602	3540	2331
603	3546	2324
604	3552	2319
605	3557	2312
606	3565	2308
607	3572	2303
608	3577	2297
609	3582	2290
610	3587	2284
611	3592	2277
612	3598	2271
613	3603	2265
614	3608	2258
615	3614	2253
616	3619	2246
617	3624	2240
618	3630	2234
619	3638	2229
620	3642	2223
621	3648	2217
622	3653	2210
623	3658	2204
624	3665	2199
625	3670	2193
626	3679	2188
