"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
3795936,3795936,3820914,3822782,3895848,3795206,-0.00654,"Southeast","Los Angeles","CA","California","6037","Los Angeles County",8068,"california/los-angeles",470.517,-118.411,34.0194,"City",1
1388996,1388996,1388320,1387378,1386292,1305632,0.00049,"Southeast","San Diego","CA","California","6073","San Diego County",4260,"california/san-diego",326.087,-117.136,32.815,"City",2
956433,956433,969655,972082,1009319,954552,-0.01364,"West","San Jose","CA","California","6085","Santa Clara County",5375,"california/san-jose",177.939,-121.815,37.296,"City",3
788478,788478,808988,807774,870518,805519,-0.02535,"Northwest","San Francisco","CA","California","6075","San Francisco County",16884,"california/san-francisco",46.7,-123.032,37.7272,"City",4
546718,546718,545716,545253,542710,497763,0.00184,"Central","Fresno","CA","California","6019","Fresno County",4720,"california/fresno",115.818,-119.793,36.7827,"City",5
526669,526669,526384,525297,525528,467246,0.00054,"Northwest","Sacramento","CA","California","6067","Sacramento County",5339,"california/sacramento",98.646,-121.468,38.5677,"City",6
444095,444095,449468,452931,465585,462311,-0.01195,"Southeast","Long Beach","CA","California","6037","Los Angeles County",8764,"california/long-beach",50.672,-118.168,33.7808,"City",7
435024,435024,436504,434568,440943,391350,-0.00339,"Northwest","Oakland","CA","California","6001","Alameda County",7773,"california/oakland",55.963,-122.226,37.7698,"City",8
416081,416081,413381,412269,405280,348760,0.00653,"South","Bakersfield","CA","California","6029","Kern County",2769,"california/bakersfield",150.273,-119.038,35.3532,"City",9
338463,338463,340512,342777,346658,337860,-0.00602,"Southeast","Anaheim","CA","California","6059","Orange County",6731,"california/anaheim",50.283,-117.759,33.8555,"City",10
320121,320121,318858,318991,315067,305417,0.00396,"Southeast","Riverside","CA","California","6065","Riverside County",3945,"california/riverside",81.149,-117.393,33.9381,"City",11
319065,319065,319543,320831,320976,292984,-0.0015,"Northwest","Stockton","CA","California","6077","San Joaquin County",5057,"california/stockton",63.095,-121.309,37.9772,"City",12
316691,316691,314621,312820,308411,214371,0.00658,"Southeast","Irvine","CA","California","6059","Orange County",4827,"california/irvine",65.613,-117.771,33.6784,"City",13
310304,310304,310539,310648,311244,325069,-0.00076,"Southeast","Santa Ana","CA","California","6059","Orange County",11335,"california/santa-ana",27.376,-117.883,33.7363,"City",14
273841,273841,274333,274823,275809,244744,-0.00179,"Southeast","Chula Vista","CA","California","6073","San Diego County",5517,"california/chula-vista",49.638,-117.015,32.6277,"City",15
224800,224800,226208,226305,230430,214514,-0.00622,"West","Fremont","CA","California","6001","Alameda County",2878,"california/fremont",78.103,-121.941,37.4945,"City",16
224274,224274,223728,221111,222090,210484,0.00244,"Southeast","San Bernardino","CA","California","6071","San Bernardino County",3611,"california/san-bernardino",62.1,-117.295,34.1411,"City",17
